description,amount,category,payment_mode,date
Ola auto rickshaw,178.23,Transportation,Card,2024-09-02
House rent payment,528.42,Bills & Utilities,Cash,2024-04-24
Flipkart order clothes,4700.77,Shopping,UPI,2024-03-05
Yoga class monthly,244.31,Healthcare,UPI,2024-05-15
Amazon online shopping,6826.69,Shopping,Net Banking,2024-02-14
Online food order,469.61,Food & Dining,UPI,2024-04-28
Hotel breakfast buffet,520.03,Food & Dining,UPI,2024-02-12
Milk bread eggs,1298.13,Food & Dining,UPI,2024-11-24
Reliance Smart groceries,4010.91,Shopping,Card,2024-12-16
Uber cab ride office,1816.65,Transportation,EMI,2024-10-22
Water bill monthly,4396.11,Bills & Utilities,Net Banking,2024-02-17
School fees monthly,12991.53,Education,Cash,2024-12-28
Skill development class,13847.55,Education,UPI,2024-12-05
Ajio fashion clothing,7939.61,Shopping,UPI,2024-08-04
RD recurring deposit,10677.9,Investments & Savings,EMI,2024-01-18
Petrol fuel bike,1638.68,Transportation,Net Banking,2024-06-10
Grocery vegetables fruits,1302.56,Food & Dining,UPI,2024-11-21
Property tax payment,1777.11,Bills & Utilities,EMI,2024-07-11
Language learning app,4218.44,Education,Net Banking,2024-04-07
Medicine pharmacy purchase,1459.87,Healthcare,Cash,2024-05-19
Books college semester,8259.71,Education,UPI,2024-03-14
Gift birthday present,3976.75,Shopping,EMI,2024-09-20
Stationery notebooks pen,7502.7,Education,Net Banking,2024-05-15
Zerodha brokerage charge,2625.08,Investments & Savings,UPI,2024-03-05
Online food order,1108.4,Food & Dining,Card,2024-12-10
RD recurring deposit,3620.0,Investments & Savings,Card,2024-01-25
Books college semester,12227.8,Education,Cash,2024-03-24
Home decor items,5443.8,Shopping,Cash,2024-10-02
Amusement park entry,1334.58,Entertainment,Card,2024-03-02
Property tax payment,1940.89,Bills & Utilities,Cash,2024-09-21
Doctor consultation fee,1406.52,Healthcare,Cash,2024-12-03
Amazon Prime renewal,1574.5,Entertainment,Card,2024-05-04
DTH recharge tata sky,4257.46,Bills & Utilities,Card,2024-07-28
Home decor items,602.57,Shopping,Cash,2024-09-05
Dosa idli breakfast,1066.92,Food & Dining,Net Banking,2024-04-15
House rent payment,1620.19,Bills & Utilities,Cash,2024-01-27
EPF employee provident,21661.39,Investments & Savings,UPI,2024-03-17
ELSS tax saving fund,22945.19,Investments & Savings,Cash,2024-06-20
Gaming purchase online,1549.62,Entertainment,EMI,2024-03-17
Ola auto rickshaw,1757.77,Transportation,Cash,2024-03-19
EMI loan payment,3992.03,Bills & Utilities,Net Banking,2024-06-26
Hotstar Disney plus,1558.55,Entertainment,Card,2024-07-17
Sovereign gold bond,2289.22,Investments & Savings,Net Banking,2024-06-23
Fixed deposit bank,18983.19,Investments & Savings,Net Banking,2024-04-28
Grocery supermarket,2168.71,Shopping,UPI,2024-07-28
Gym membership fees,1973.77,Healthcare,UPI,2024-04-23
Books stationery purchase,5752.37,Shopping,Net Banking,2024-01-03
Ola auto rickshaw,1934.77,Transportation,Cash,2024-06-21
Airtel postpaid bill,3991.93,Bills & Utilities,Card,2024-10-11
Electronics gadget,3803.42,Shopping,UPI,2024-04-17
Online food order,855.86,Food & Dining,Net Banking,2024-03-07
BookMyShow event,581.19,Entertainment,UPI,2024-06-26
Restaurant dinner family,453.79,Food & Dining,Net Banking,2024-04-18
Dominos burger meal,786.14,Food & Dining,UPI,2024-11-10
Zoo theme park visit,1917.27,Entertainment,Cash,2024-03-16
DTH recharge tata sky,4843.44,Bills & Utilities,Cash,2024-12-28
Health insurance premium,1329.64,Healthcare,EMI,2024-08-14
Amazon online shopping,1494.2,Shopping,Cash,2024-10-24
Auto rickshaw fare,857.68,Transportation,EMI,2024-12-01
Chai samosa street food,603.35,Food & Dining,Net Banking,2024-09-09
School fees monthly,11966.13,Education,EMI,2024-11-25
School fees monthly,14341.83,Education,Card,2024-05-02
Airtel postpaid bill,2849.2,Bills & Utilities,EMI,2024-07-15
Stationery notebooks pen,12052.94,Education,UPI,2024-10-16
EMI loan payment,1891.14,Bills & Utilities,Card,2024-10-09
YouTube premium plan,1636.99,Entertainment,Card,2024-12-15
Internet broadband bill,4102.65,Bills & Utilities,Card,2024-06-25
Amusement park entry,1044.79,Entertainment,EMI,2024-05-26
BookMyShow event,525.85,Entertainment,Cash,2024-02-27
JEE preparation course,5963.96,Education,Card,2024-08-18
Diesel vehicle refill,1105.88,Transportation,EMI,2024-04-16
McDonald's lunch,365.67,Food & Dining,UPI,2024-10-24
Online course Udemy,14205.88,Education,EMI,2024-08-08
Local taxi station,517.06,Transportation,Cash,2024-09-16
Zerodha brokerage charge,19500.09,Investments & Savings,Net Banking,2024-08-18
NEET coaching fees,14841.94,Education,EMI,2024-09-16
Hotel breakfast buffet,741.34,Food & Dining,EMI,2024-03-02
Cafe coffee snacks,285.85,Food & Dining,Cash,2024-04-22
Home decor items,2552.34,Shopping,EMI,2024-02-26
Milk bread eggs,1315.03,Food & Dining,Net Banking,2024-04-18
Language learning app,10957.15,Education,Net Banking,2024-03-27
Netflix subscription monthly,880.04,Entertainment,Card,2024-08-20
Home decor items,4590.15,Shopping,Cash,2024-02-08
Grocery supermarket,5056.54,Shopping,Net Banking,2024-11-15
Dosa idli breakfast,192.71,Food & Dining,Net Banking,2024-12-11
Vaccination shot,325.8,Healthcare,Cash,2024-10-14
EMI loan payment,1937.79,Bills & Utilities,EMI,2024-02-15
Electricity bill payment,4514.76,Bills & Utilities,Net Banking,2024-05-22
Online course Udemy,10484.9,Education,Card,2024-08-14
Language learning app,9554.95,Education,EMI,2024-06-27
PPF account deposit,17825.65,Investments & Savings,UPI,2024-04-17
EMI loan payment,4839.2,Bills & Utilities,Net Banking,2024-09-12
Kitchen utensils buy,4639.81,Shopping,Cash,2024-08-04
Reliance Smart groceries,1573.87,Shopping,EMI,2024-11-09
Hotstar Disney plus,652.71,Entertainment,UPI,2024-10-12
University exam fee,1241.79,Education,EMI,2024-04-12
Flight ticket travel,1383.11,Transportation,Card,2024-06-14
Gaming purchase online,1780.68,Entertainment,UPI,2024-07-02
Dominos burger meal,1117.88,Food & Dining,EMI,2024-02-19
EPF employee provident,3264.69,Investments & Savings,Net Banking,2024-10-25
Toll road highway,1710.24,Transportation,EMI,2024-08-09
Amazon online shopping,912.35,Shopping,EMI,2024-10-01
Cafe coffee snacks,1155.64,Food & Dining,EMI,2024-09-01
Certification exam cost,8309.38,Education,EMI,2024-12-09
Cricket match ticket,931.97,Entertainment,Card,2024-02-08
Language learning app,2945.22,Education,EMI,2024-03-06
Medicine pharmacy purchase,1789.94,Healthcare,Card,2024-06-10
Local taxi station,378.79,Transportation,Net Banking,2024-01-06
Dental checkup clinic,160.48,Healthcare,Cash,2024-03-26
Blood test report,1118.19,Healthcare,Card,2024-04-04
Insurance premium LIC,3649.84,Bills & Utilities,Net Banking,2024-09-02
Swiggy pizza delivery,601.18,Food & Dining,Net Banking,2024-11-27
Apollo pharmacy,2004.54,Healthcare,Card,2024-02-12
Amazon Prime renewal,1549.69,Entertainment,Cash,2024-08-17
Internet broadband bill,2463.09,Bills & Utilities,EMI,2024-09-11
Reliance Smart groceries,2823.89,Shopping,Net Banking,2024-06-06
RD recurring deposit,12463.75,Investments & Savings,EMI,2024-11-02
Study material purchase,7974.83,Education,Cash,2024-10-11
ULIPpremium payment,12683.29,Investments & Savings,UPI,2024-12-16
Skill development class,10311.02,Education,Net Banking,2024-07-27
Water bill monthly,2283.06,Bills & Utilities,UPI,2024-11-23
Mutual fund SIP payment,10355.5,Investments & Savings,Card,2024-09-07
Home decor items,5023.66,Shopping,EMI,2024-07-15
Workshop seminar fee,5803.78,Education,Net Banking,2024-06-02
Tuition fees coaching,10212.59,Education,EMI,2024-04-21
Chai samosa street food,754.18,Food & Dining,Card,2024-07-02
Tuition fees coaching,12784.0,Education,Net Banking,2024-03-09
PPF account deposit,2971.97,Investments & Savings,UPI,2024-08-20
Society maintenance fee,958.28,Bills & Utilities,Net Banking,2024-06-19
Restaurant dinner family,1000.39,Food & Dining,Net Banking,2024-11-15
Dental checkup clinic,2617.47,Healthcare,UPI,2024-05-20
NEET coaching fees,13390.45,Education,EMI,2024-05-21
Grocery supermarket,5157.56,Shopping,Net Banking,2024-12-05
Water bill monthly,870.93,Bills & Utilities,UPI,2024-05-16
Mobile accessories buy,5044.01,Shopping,EMI,2024-12-04
INOX cinema show,198.19,Entertainment,Net Banking,2024-06-18
Zoo theme park visit,688.45,Entertainment,Net Banking,2024-09-16
Workshop seminar fee,1244.65,Education,Net Banking,2024-03-17
Hospital OPD charges,1065.9,Healthcare,Card,2024-02-17
Health insurance premium,839.18,Healthcare,Card,2024-11-16
Petrol car fill up,491.95,Transportation,Cash,2024-06-18
Flight ticket travel,817.37,Transportation,EMI,2024-06-01
Diagnostic lab test,622.76,Healthcare,Card,2024-06-25
Rapido bike taxi,112.4,Transportation,Cash,2024-01-12
Library membership fee,8795.99,Education,EMI,2024-11-01
Health insurance premium,994.42,Healthcare,Card,2024-07-20
Electronics gadget,6634.43,Shopping,UPI,2024-11-28
Stationery notebooks pen,7019.14,Education,Card,2024-02-02
Toll road highway,1384.62,Transportation,UPI,2024-07-08
Restaurant dinner family,1374.05,Food & Dining,EMI,2024-12-11
Dosa idli breakfast,485.0,Food & Dining,Cash,2024-02-01
Ola auto rickshaw,1899.28,Transportation,Cash,2024-10-11
Water bill monthly,3995.27,Bills & Utilities,UPI,2024-05-18
Zoo theme park visit,1997.39,Entertainment,Card,2024-02-05
Diesel vehicle refill,1579.26,Transportation,Net Banking,2024-10-17
